#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
1,20,132.908599,5
1,22,132.979664,6
1,22,133.050729,7
1,18,133.108781,7
1,18,133.166834,7
1,21,133.233895,11
1,20,133.298954,14
1,21,133.366015,8
1,20,133.431074,14
1,18,133.489127,3
1,20,133.553185,7
1,21,133.621247,12
1,22,133.692312,14
1,22,133.763376,17
1,22,133.834441,9
1,31,133.933531,13
1,18,133.991584,8
1,18,134.049636,11
1,18,134.107689,12
1,22,134.178754,5
1,27,134.305869,16
1,19,134.379936,7
1,18,134.441993,9
1,20,134.507052,9
1,18,134.565105,4
1,20,134.630164,7
1,21,134.698226,14
1,18,134.756279,17
1,23,134.830346,3
1,18,134.889399,4
1,23,134.963467,11
1,26,135.047543,15
1,22,136.764103,7
1,25,136.840172,6
1,18,136.896223,4
1,20,136.957278,6
1,24,137.030345,8
1,24,137.104413,5
1,18,137.159462,14
1,29,137.248544,20
1,24,137.32161,6
1,20,137.382665,9
1,18,137.438716,4
1,27,137.556823,12
1,20,137.624886,7
1,22,137.695949,15
1,20,137.758006,13
1,18,137.812055,11
1,18,137.867106,8
1,20,137.928161,12
1,23,137.998225,8
1,20,138.05928,7
1,18,138.115331,3
1,26,138.197406,8
1,18,138.253457,10
1,19,138.313511,10
1,20,138.375568,11
1,21,138.441628,8
1,20,138.504685,11
1,20,138.567743,5
1,18,138.623793,11
1,26,138.705868,12
1,18,138.761919,1
1,18,138.81797,16
1,24,138.894039,9
1,23,138.967105,12
1,18,139.024157,7
1,20,139.122246,8
1,20,139.194311,13
1,18,139.254366,14
1,19,139.320426,6
1,24,139.397496,13
1,24,139.473566,10
1,18,139.530617,8
1,20,139.593675,6
1,19,139.654733,12
1,18,139.711785,12
1,20,139.774842,4
1,22,139.844906,6
1,20,139.908964,5
1,18,139.966016,12
1,22,140.03708,7
1,18,140.094132,16
1,22,140.164196,9
1,19,140.225251,10
1,18,140.282303,6
1,26,140.366379,14
1,26,140.448454,14
1,18,140.506507,13
1,26,140.589583,10
1,22,140.659646,11
1,24,140.771748,9
1,26,140.860828,16
1,23,140.9389,6
1,18,140.998955,6
1,19,141.06001,5
1,34,141.169109,12
1,18,141.227162,13
1,23,141.301229,5
1,20,141.365287,12
1,29,141.459373,12
1,19,141.520429,8
1,24,141.597498,8
1,18,141.655551,12
1,20,141.720611,10
1,18,141.778663,15
1,18,141.837717,9
1,18,141.894769,3
1,21,141.962831,6
1,22,142.033895,8
1,18,142.091948,5
1,18,142.150001,13
1,18,142.208053,12
1,21,142.276115,8
1,23,142.351184,7
1,18,142.444268,15
1,22,142.519336,9
1,22,142.594404,8
1,18,142.654459,14
1,18,142.713513,5
1,18,142.772566,11
1,18,142.830619,4
1,19,142.893677,11
1,18,142.95273,14
1,21,143.020792,4
1,19,143.082848,15
1,21,143.151911,11
1,19,143.213968,12
1,20,143.279027,5
1,18,143.337079,7
1,21,143.406142,5
1,18,145.104686,7
1,29,145.194768,5
1,22,145.262829,7
1,20,145.324886,12
1,18,145.379936,14
1,22,145.447998,14
1,19,145.506051,10
1,19,145.564104,4
1,20,145.62616,5
1,20,145.721246,10
1,18,145.779298,14
1,19,145.845359,14
1,20,145.909417,17
1,18,145.964467,7
1,20,146.026524,8
1,21,146.091583,8
1,22,146.160645,5
1,19,146.2207,3
1,24,146.295768,17
1,19,146.356824,13
1,22,146.425887,17
1,19,146.485941,8
1,20,146.548998,7
1,18,146.607051,9
1,18,146.664103,9
1,18,146.721155,15
1,26,146.803229,14
1,21,146.869289,13
1,18,146.926341,12
1,18,146.983393,12
1,23,147.056459,12
1,20,147.119517,8
1,21,147.186578,12
1,19,147.246632,17
1,20,147.345722,13
1,18,147.40778,12
1,22,147.480845,5
1,20,147.545904,18
