#{"t_start": 1679423017.1523116, "env_id": null}
r,l,t,ruined grasses
1,46,1042.303457,35
1,46,1042.507641,37
1,62,1042.984965,42
1,48,1043.475426,37
1,44,1043.917213,38
1,49,1044.37663,36
1,42,1044.730952,36
1,39,1045.132434,28
1,72,1045.657812,41
1,42,1045.822784,35
1,73,1046.106904,39
1,64,1046.36614,38
1,55,1046.592345,39
1,51,1046.788524,38
1,54,1046.994777,40
1,56,1047.213668,36
1,50,1047.479909,36
1,41,1047.645059,36
1,40,1047.813373,34
1,51,1048.037576,36
1,48,1048.503523,35
1,56,1054.724339,39
1,46,1055.183755,37
1,48,1055.657186,36
1,64,1056.295766,43
1,47,1056.774201,41
1,68,1057.531112,49
1,46,1058.015229,38
1,64,1058.648804,36
1,43,1059.063181,37
1,49,1059.527203,36
1,72,1060.154485,42
1,71,1060.781271,39
1,64,1061.411844,38
1,42,1061.919306,37
1,38,1062.309344,30
1,46,1062.771959,36
1,57,1063.385517,36
1,50,1063.921641,35
1,55,1064.484154,35
1,44,1064.925555,35
1,44,1065.403363,38
1,73,1066.199087,50
1,56,1066.792626,29
1,58,1067.385166,37
1,57,1067.928659,35
1,52,1068.485165,36
1,46,1068.972607,36
1,46,1069.468389,34
1,52,1070.036906,33
1,58,1070.658302,42
1,46,1071.144821,37
1,61,1071.781252,41
1,63,1072.477884,37
1,62,1073.050404,40
1,44,1073.453771,34
1,52,1073.946218,43
1,50,1074.421651,38
1,46,1074.862051,36
1,59,1080.953648,41
1,77,1081.782248,47
1,113,1082.977334,56
1,47,1083.420737,31
1,82,1084.107361,45
1,415,1088.285553,91
1,65,1088.936957,39
1,42,1089.342058,35
1,60,1089.915779,42
1,85,1090.717116,49
1,46,1091.154514,32
1,130,1092.406651,57
1,84,1093.273439,41
1,48,1093.753875,34
1,61,1094.316387,27
1,51,1094.734767,38
1,54,1095.240226,43
1,86,1096.077988,54
1,55,1096.564516,36
1,62,1097.158449,47
1,50,1097.763442,38
1,74,1098.531055,35
1,53,1099.035513,36
1,50,1099.495932,36
1,58,1100.071455,39
1,42,1100.511855,37
1,57,1106.726005,40
1,52,1107.243248,39
1,73,1107.947393,45
1,44,1108.415819,37
1,55,1108.876237,38
1,59,1109.399714,40
1,111,1110.511724,35
1,52,1111.032198,43
1,56,1111.601566,31
1,54,1112.138406,40
1,46,1112.598114,33
1,45,1113.111437,36
1,50,1113.605886,39
1,44,1114.032346,38
1,46,1114.4816,34
1,50,1114.965702,37
1,56,1115.511495,37
1,52,1116.02869,31
1,320,1119.227208,72
1,49,1119.734669,40
1,52,1120.250138,35
1,56,1120.818655,41
1,53,1121.361147,35
1,49,1121.815318,41
1,81,1122.524962,29
1,45,1123.030465,36
1,43,1123.45285,33
1,73,1124.164329,49
1,61,1124.699024,37
1,88,1125.440417,50
1,131,1132.206322,64
1,65,1132.845903,23
1,40,1133.308067,36
1,50,1133.803188,33
1,57,1134.295697,31
1,66,1134.866726,35
1,42,1135.279101,37
1,68,1135.941702,31
1,44,1136.373095,34
1,139,1137.799391,69
1,196,1139.798717,85
1,80,1140.579426,36
1,51,1141.038843,37
1,79,1141.718214,51
1,48,1142.166622,38
1,87,1143.112616,49
1,44,1143.552015,31
1,49,1144.048466,34
1,64,1144.691051,42
1,111,1145.797055,61
1,50,1146.326195,33
1,86,1147.223526,36
1,70,1147.952187,30
1,57,1148.611325,38
1,85,1149.501137,36
1,50,1150.026255,37
1,63,1150.654825,28
1,45,1151.06733,34
1,112,1152.217706,55
1,85,1158.892702,49
1,45,1159.422299,34
1,62,1160.055345,42
1,49,1160.552797,38
1,59,1161.157516,37
1,108,1162.259393,43
1,60,1162.869948,39
1,333,1166.205981,45
1,66,1166.873586,43
1,55,1167.447107,39
1,55,1168.011621,39
1,56,1168.575132,42
1,125,1169.912595,56
1,54,1170.463756,33
1,54,1170.971216,37
1,48,1171.386539,38
1,77,1172.075585,44
1,81,1172.877693,48
1,58,1173.455484,44
1,51,1173.963303,38
1,55,1174.575859,35
1,61,1175.174404,41
1,75,1175.915076,39
1,67,1176.562665,41
1,67,1177.214257,45
1,65,1177.818806,34
1,63,1178.33928,44
1,70,1184.623192,41
1,46,1185.080643,35
1,46,1185.553072,35
1,51,1186.072543,37
1,54,1186.609031,23
1,48,1187.095474,42
1,48,1187.539877,37
1,43,1187.920223,33
1,43,1188.300569,35
1,59,1188.884099,41
1,40,1189.278457,34
1,92,1190.254189,40
1,81,1191.035564,39
1,52,1191.538766,37
1,47,1192.021204,35
1,56,1192.599588,38
1,60,1193.224157,39
1,124,1194.502084,62
1,52,1194.947488,36
1,61,1195.489696,41
1,48,1195.950115,39
1,43,1196.357486,34
1,55,1196.884964,45
1,53,1197.388422,41
1,65,1198.006984,39
1,66,1198.677593,44
1,63,1199.351205,42
1,55,1199.904784,36
1,69,1200.578915,45
1,113,1201.676211,44
1,50,1202.173649,38
1,61,1202.765731,39
1,45,1203.200632,39
1,57,1203.758728,40
1,56,1204.30022,40
1,70,1210.657708,29
1,45,1211.11112,33
1,64,1211.73869,38
1,58,1212.331228,38
1,52,1212.840692,39
1,56,1213.400199,40
1,51,1213.896591,39
1,46,1214.350003,35
1,129,1215.659193,42
1,62,1216.289273,38
1,68,1216.965886,42
1,43,1217.329217,33
1,45,1217.513385,35
1,63,1217.864735,33
1,42,1218.145932,36
1,68,1218.604081,43
1,105,1219.348981,58
1,67,1219.758466,35
1,47,1220.038846,37
1,63,1220.426197,41
1,79,1220.971694,34
1,72,1221.355042,40
1,65,1221.761411,38
1,66,1222.237844,38
1,69,1222.664768,35
1,96,1223.257307,31
1,73,1223.702711,38
1,58,1224.06504,37
1,53,1224.393339,39
1,57,1224.75413,38
1,59,1225.174163,41
1,65,1225.597575,38
1,50,1229.202918,30
1,85,1229.750416,44
1,58,1230.127759,36
1,85,1230.670252,43
1,61,1231.06561,39
1,53,1231.403918,39
1,63,1231.87935,39
1,94,1232.477894,40
1,81,1232.993363,43
1,73,1233.494112,42
1,57,1233.863201,37
1,91,1234.438459,40
1,58,1234.901207,41
1,56,1235.334306,37
1,59,1235.720657,42
1,71,1236.168887,42
1,58,1236.545316,39
1,69,1237.002731,45
0,480,1240.209176,59
1,61,1240.599531,37
1,71,1241.058977,36
1,61,1241.574446,40
1,49,1241.946288,39
1,51,1242.292604,39
1,56,1242.649458,38
1,60,1246.584906,31
1,56,1246.950238,41
1,58,1247.325579,39
