#{"t_start": 1679480980.870534, "env_id": "FrozenLake-v1"}
r,l,t
0.0,11,19.31748
0.0,9,19.333494
0.0,4,19.340501
0.0,6,19.351511
0.0,2,19.354514
0.0,4,19.362521
0.0,3,19.367525
0.0,3,19.37253
0.0,2,19.376534
1.0,12,19.396552
0.0,8,19.411566
1.0,11,19.430583
0.0,8,19.444596
0.0,7,19.457607
1.0,17,19.487665
0.0,6,19.495676
1.0,8,19.512972
0.0,2,19.516976
0.0,6,19.526985
0.0,9,19.543
0.0,7,19.555011
0.0,8,19.569023
0.0,4,19.57603
0.0,11,19.596048
0.0,2,19.599051
0.0,3,19.604055
0.0,15,19.63108
0.0,9,19.647094
0.0,16,19.676121
0.0,14,19.701144
0.0,5,19.709151
0.0,15,19.735174
0.0,7,19.748187
0.0,2,19.751189
0.0,13,19.77421
0.0,3,19.779215
0.0,2,19.783218
0.0,6,19.793227
0.0,4,19.800234
0.0,16,19.828259
0.0,11,19.847277
0.0,2,19.85128
0.0,6,19.86229
0.0,4,19.869296
0.0,14,19.893318
0.0,5,19.902327
0.0,9,19.918341
0.0,8,19.932354
0.0,2,19.935357
0.0,5,19.944365
0.0,4,19.951371
0.0,10,19.969388
0.0,21,20.005443
0.0,4,20.01145
0.0,16,20.041591
0.0,8,20.055604
0.0,3,20.060609
0.0,20,20.09564
0.0,4,20.102647
0.0,6,20.112656
0.0,8,20.127669
0.0,3,20.132674
0.0,7,20.144685
0.0,8,20.159699
0.0,4,20.166705
0.0,5,20.175713
0.0,23,20.251782
0.0,4,20.258789
0.0,14,20.283811
0.0,3,20.288816
0.0,12,20.309835
0.0,6,20.320845
0.0,4,20.327852
0.0,6,20.338861
0.0,3,20.343866
0.0,6,20.354876
0.0,19,20.388907
0.0,2,20.39291
0.0,2,20.395913
0.0,5,20.404921
0.0,4,20.411928
0.0,9,20.427942
0.0,5,20.436951
0.0,5,20.445959
0.0,7,20.458971
0.0,9,20.474985
0.0,2,20.478989
0.0,6,20.488998
0.0,4,20.496004
0.0,2,20.500008
0.0,18,20.532179
0.0,13,22.218483
0.0,30,22.272532
0.0,33,22.331585
0.0,10,22.349602
0.0,7,22.362613
0.0,16,22.388637
0.0,32,22.438683
0.0,11,22.456699
0.0,17,22.483724
0.0,2,22.486726
0.0,7,22.497736
0.0,11,22.514752
0.0,5,22.522759
0.0,3,22.527764
0.0,11,22.54478
0.0,3,22.549784
0.0,17,22.576808
0.0,9,22.590821
0.0,16,22.615844
0.0,7,22.626854
0.0,11,22.64487
0.0,8,22.656881
0.0,9,22.670894
0.0,5,22.678901
0.0,2,22.681904
0.0,12,22.700921
0.0,16,22.760976
0.0,3,22.765981
0.0,16,22.791004
0.0,8,22.804016
0.0,13,22.824034
0.0,2,22.828038
0.0,3,22.832042
0.0,6,22.842051
0.0,4,22.849057
1.0,25,22.889094
0.0,14,22.911114
0.0,3,22.916118
0.0,4,22.922123
0.0,8,22.935135
0.0,9,22.950149
0.0,3,22.955153
1.0,9,22.969166
0.0,5,22.978175
0.0,9,22.992187
0.0,6,23.002196
0.0,2,23.005199
0.0,6,23.015208
0.0,3,23.020213
0.0,5,23.02822
0.0,5,23.036228
0.0,11,23.054244
0.0,3,23.059248
0.0,14,23.081268
0.0,2,23.084271
0.0,5,23.093279
0.0,14,23.115299
0.0,11,23.133316
0.0,7,23.144325
0.0,7,23.156337
0.0,2,23.159339
0.0,2,23.162342
0.0,2,23.166346
1.0,20,23.198375
1.0,9,23.213388
0.0,5,23.221395
0.0,3,23.2264
0.0,15,23.251423
0.0,8,23.264435
0.0,4,23.27044
0.0,2,23.274444
0.0,8,23.287455
0.0,4,23.293461
0.0,4,23.300467
0.0,16,23.326492
0.0,4,23.333498
0.0,4,23.339503
0.0,5,23.34751
0.0,7,23.359521
0.0,9,23.374535
0.0,7,23.385545
0.0,5,23.393552
0.0,8,23.406564
0.0,3,23.411568
0.0,2,23.415572
0.0,7,23.426583
0.0,7,23.438593
0.0,2,23.441596
0.0,2,23.445599
0.0,3,23.450604
0.0,11,23.468621
0.0,22,23.504653
0.0,4,23.510659
0.0,2,23.514662
0.0,6,23.524671
0.0,9,23.539685
0.0,10,23.5557
0.0,10,23.606746
0.0,14,23.629766
0.0,6,23.640776
0.0,12,23.660794
0.0,6,23.670804
0.0,2,23.673806
0.0,14,23.696828
0.0,8,23.71084
0.0,8,23.723852
0.0,10,23.740867
0.0,14,23.764889
0.0,2,23.768893
0.0,7,23.780904
0.0,7,23.791914
0.0,8,23.805926
0.0,5,23.813934
0.0,9,23.828948
