#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
1,21,130.902579,6
1,20,130.967638,2
1,20,131.064726,8
1,26,131.151805,7
1,23,131.227874,11
1,22,131.300941,3
1,19,131.362997,9
1,21,131.43206,9
1,22,131.502124,6
1,18,131.560177,9
1,21,131.627237,6
1,22,131.697301,11
1,22,131.768368,7
1,25,131.849442,7
1,27,131.936521,7
1,21,132.003582,8
1,19,132.064637,7
1,20,132.127695,5
1,21,132.195759,13
1,19,132.255813,13
1,18,132.314867,6
1,25,132.395941,7
1,18,132.453993,6
1,29,132.548079,11
1,19,132.608134,10
1,23,132.721236,5
1,21,132.793301,6
1,19,132.863365,5
1,25,132.949443,10
1,20,133.014502,7
1,18,133.072555,6
1,22,133.142619,5
1,20,133.206677,11
1,18,133.266732,7
1,22,133.337796,5
1,18,133.39685,6
1,25,133.476923,8
1,27,133.564002,4
1,18,133.623055,7
1,21,133.690116,9
1,25,133.772714,5
1,20,133.837774,7
1,21,133.905835,4
1,23,133.982905,5
1,18,134.040958,4
1,22,134.112022,6
1,20,134.176081,9
1,20,134.242141,5
1,18,134.301194,3
1,22,134.406289,3
1,19,134.474351,5
1,22,134.558428,9
1,24,134.6375,11
1,28,134.728583,9
1,18,134.787637,5
1,21,134.855698,5
1,22,134.926763,8
1,19,134.98982,11
1,19,135.051877,3
1,25,135.133951,8
1,26,135.218028,4
1,20,136.912027,9
1,29,137.002107,9
1,25,137.079177,5
1,19,137.139232,7
1,25,137.217302,10
1,19,137.276356,8
1,22,137.345419,7
1,22,137.41248,8
1,23,137.483544,7
1,22,137.551606,7
1,20,137.613663,4
1,23,137.722762,7
1,19,137.78682,4
1,24,137.865892,4
1,20,137.927948,5
1,19,137.986001,6
1,19,138.044054,7
1,22,138.113116,13
1,20,138.175173,6
1,20,138.237229,7
1,21,138.303289,7
1,20,138.365346,3
1,20,138.427402,11
1,20,138.489458,9
1,22,138.55652,10
1,19,138.617575,5
1,23,138.691642,11
1,20,138.7557,7
1,19,138.816756,6
1,29,138.909841,12
1,19,138.969895,8
1,18,139.025946,6
1,19,139.087002,6
1,23,139.160068,9
1,21,139.229131,11
1,20,139.329221,3
1,20,139.405291,10
1,22,139.480359,12
1,23,139.553426,5
1,19,139.615482,7
1,21,139.682553,3
1,19,139.743609,11
1,20,139.808668,4
1,23,139.882735,11
1,18,139.939787,3
1,19,139.999841,9
1,21,140.067903,7
1,26,140.15198,6
1,22,140.222043,9
1,18,140.281097,6
1,22,140.352161,5
1,20,140.416219,6
1,18,140.474272,4
1,23,140.549341,12
1,30,140.646429,11
1,19,140.706484,7
1,21,140.773545,9
1,18,140.8346,4
1,22,140.938694,5
1,20,141.01076,5
1,23,141.092835,10
1,20,141.159896,7
1,24,141.237967,8
1,22,141.309031,4
1,23,141.387103,8
1,19,141.449159,3
1,18,141.507212,6
1,21,141.576274,8
1,25,141.658349,6
1,23,141.733417,9
1,22,141.805483,6
1,18,141.864537,4
1,24,141.94561,9
1,20,142.010669,7
1,22,142.082735,4
1,21,142.150797,9
